Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2
70552,F,1526,LFPG,EGLL,BAW315   ,Z,A20N   ,Z  ,GTTNT    ,,240315,AA56923790,,,,,,,,
70557,F,1505,LFKJ,LFMN,CCM75AW  ,Z,AT76   ,Z  ,FHXKU    ,,240315,AA56911404,,,,,,,,
70563,F,1437,LFPG,LEMD,AFR34TJ  ,Z,A320   ,Z  ,FGKXP    ,,240315,AA56930729,,,,,,,,
70566,F,1500,LFKB,LFMN,CCM56ML  ,Z,AT76   ,Z  ,FHXKE    ,,240315,AA56911790,,,,,,,,
70568,F,1529,LFPG,EGLL,AFR76GJ  ,Z,BCS3   ,Z  ,FHZUV    ,,240315,AA56932265,,,,,,,,
70569,F,1442,LFPO,GMMN,TVF24DM  ,Z,B738   ,Z  ,FGZHB    ,,240315,AA56923426,,,,,,,,
70571,F,1527,LFPG,KATL,DAL85    ,Z,A333   ,Z  ,N806N    ,,240315,AA56936800,,,,,,,,
70572,F,1445,LFPO,SBKP,AZU8701  ,Z,A339   ,Z  ,PRANV    ,,240315,AA56935714,,,,,,,,
70578,F,1457,LFOB,LFPG,AFR1349  ,Z,A321   ,Z  ,FGTAM    ,,240315,AA56938371,,,,,,,,
70579,F,1614,LFGF,LFPN,FHISS    ,Z,M20P   ,Z  ,         ,,240315,AA56938645,,,,,,,,
70583,F,1515,LFPO,LICJ,TVF65NY  ,Z,B738   ,Z  ,FGZHI    ,,240315,AA56924042,,,,,,,,
70588,F,1536,LFPG,EGLL,BAW319A  ,Z,A320   ,Z  ,GEUYM    ,,240315,AA56924499,,,,,,,,
70589,F,1536,LFRM,LFRM,EAP61A   ,Z,PA34   ,Z  ,         ,,240315,         ,,,,,,,,
70594,F,827,LFOA,LFSD,CTM1718  ,M,E121   ,003,FAFOR    ,,240315,AA56908998,,,,,,,,
70596,F,1528,LFRB,LFEC,FTR103   ,Z,C208   ,Z  ,FHFTS    ,,240315,AA56879032,,,,,,,,
70597,F,1541,LFPB,EGTK,2OOOX    ,Z,F2TH   ,Z  ,2OOOX    ,,240315,AA56917689,,,,,,,,
70599,F,1524,LFPO,LIRF,WMT8AE   ,Z,A21N   ,Z  ,9HWAC    ,,240315,AA56922306,,,,,,,,
70605,F,1530,LFMA,LFML,TJT098Q  ,Z,B190   ,Z  ,FHTJT    ,,240315,AA56926400,,,,,,,,
70606,F,1436,LFMP,LFPO,TVF86MR  ,Z,B738   ,Z  ,FGZHF    ,,240315,AA56923536,,,,,,,,
70607,F,1523,LFMN,LFKB,AGH02A   ,Z,BE20   ,Z  ,FHGUI    ,,240315,AA56939238,,,,,,,,
70608,F,1408,LFBH,EGBO,N191AH   ,Z,S22T   ,Z  ,         ,,240315,AA56913332,,,,,,,,
70609,F,1543,LFPB,EGHI,MCUZU    ,Z,F900   ,Z  ,MCUZU    ,,240315,AA56898997,,,,,,,,
70610,F,1530,LFBB,LFBO,AIB01IS  ,Z,A20N   ,Z  ,         ,,240315,         ,,,,,,,,
70612,F,1456,LFPO,LEGR,VLG8604  ,Z,A21N   ,Z  ,ECNYE    ,,240315,AA56926376,,,,,,,,
70613,F,1501,LFPO,DAAG,DAH1005  ,Z,A332   ,Z  ,7TVJX    ,,240315,AA56931830,,,,,,,,
70618,F,1528,LFPO,LICC,TVF52BF  ,Z,B738   ,Z  ,FHTVB    ,,240315,AA56924618,,,,,,,,
